Subject,Email Body
confidential - mike miller,", do we want to do a new agreement, or simply assume the obligations in the old one if the former, i'd do a new agreement  .   if the latter, i believe i simply can do an assignment agreement, once i receive a copy of the current agreement  .   it also depends on the language in the old one, and whether we believe it protects ena  .   so, we'd have to look at it  .  sharon, do you have the file on this person if so, let me know, and i will have someone come and pick it up  ."
confidential - mike miller,", do we want to do a new agreement, or simply assume the obligations in the old one if the former, i'd do a new agreement  .   if the latter, i believe i simply can do an assignment agreement, once i receive a copy of the current agreement  .   it also depends on the language in the old one, and whether we believe it protects ena  .   so, we'd have to look at it  .  , do you have the file on this person if so, let me know, and i will have someone come and pick it up  ."
mailsweeper,", these are good questions, and, in fact, are ones to which i am not certain of the answer (at least for 2)  .   let's get together next week to discuss the specifics of how this program works and then determine the issues  .  twanda, would you please set up this meeting for me"
mailsweeper,", these are good questions, and, in fact, are ones to which i am not certain of the answer (at least for 2)  .   let's get together next week to discuss the specifics of how this program works and then determine the issues  .  , would you please set up this meeting for me"
employer ppt training for sterling bank.ppt,", please save this in whatever power point directory you have  .   then, print for me to revise for a presentation to energy operations for norma  .   save this one, though, because the one i am going to use for energy ops will be much shorter, and this one has good stuff in it  !"
mg fx terminations,",under the older workers benefits protection act, we must provide demographic information to persons over the age of 40 who are offered severance packages in exchange for a release  .   we need the title/position and the age of the persons holding those positions for the persons who were offered a package as well as the persons who were not offered a package  .   we will provide this data to persons over 40 to validate their releases  ."
eip incentive plan,"i spoke with corporate compensation yesterday (kim bolton) about the option of paying for stock options/phantom stock with proceeds from the eip incentive plan  .   she is working on obtaining approval for that provision  .  otherwise, i believe that we are ready to review a final version of the plan  .   jeanne, could you please circulate one i'll be in san antonio for the law conference the rest of the week, but this process should not wait for me  .   once corporate comp gives it the ok, we should be ready to finalize it  ."
eip incentive plan,"i spoke with corporate compensation yesterday ( ) about the option of paying for stock options/phantom stock with proceeds from the eip incentive plan  .   she is working on obtaining approval for that provision  .  otherwise, i believe that we are ready to review a final version of the plan  .   jeanne, could you please circulate one i'll be in san antonio for the law conference the rest of the week, but this process should not wait for me  .   once corporate comp gives it the ok, we should be ready to finalize it  ."
services agreements,",at one point, we had mentioned the idea of having among corp  .   and the various business units that are using shared services  .   i think that these agreements should be put into place sooner rather than later as we begin to move towards shared services across the organization  .  let me know if you would like me to prepare the drafts of these agreements or revise agreements that currently are in existence (if there are none, then we really need to put some in place)  ."
contract/keohane,",i have not seen a request form for his contract  .   i believe that teresa bien was working on it with mark haedicke  .   i am copying her on this email so that if i am mistaken, she can let me know  ."
contract/keohane,",i have not seen a request form for his contract  .   i believe that   was working on it with mark haedicke  .   i am copying her on this email so that if i am mistaken, she can let me know  ."
employment agreement,",fyi regarding the labor/employment lawyer for ebs -- according to sharon, she was asked to be point person for ebs  .   i'll let you know when i talk with mark, which should be early next week upon his return from london  .  have a great weekend  !   is chelsea giving you a mother's day gift"
agreement--privileged and confidential,"pat,i am going to forward you a draft of an amendment to the employment agreement for greg whalley  .   i would appreciate your thoughts on the language, particularly the language in amended section 2  .  1b regarding the calculation of value for options/restricted stock  .   for some reason, i cannot attach it to this email, so i will have my assistant send it under separate email cover  ."
mark schroeder's agreement,",we can make the salary retroactive as part of the contract  .   have we already sent you executables if so, we can re-run with a provision that states, effective 3/1/00, employee's monthly base salary shall be $xxxx  .   the effective date still can be 6/1  .  twanda, would you please make that change and run executables"
mark schroeder's agreement,",we can make the salary retroactive as part of the contract  .   have we already sent you executables if so, we can re-run with a provision that states, effective 3/1/00, employee's monthly base salary shall be $xxxx  .   the effective date still can be 6/1  .  , would you please make that change and run executables"
strategy group conference call,"i am available at 3 00 wednesday  .   i agree that we should convene and discuss  .   i would be surprised if we have grounds to challenge, but we can keep our fingers crossed  .   if we don't, then we could discuss strategy for negotiations  ."
eip incentive plan,"i spoke with corporate compensation yesterday (kim bolton) about the optionofpaying for stock options/phantom stock with proceeds from the eip incentiveplan  .   she is working on obtaining approval for that provision  .  otherwise, i believe that we are ready to review a final version of theplan  .  jeanne, could you please circulate one i'll be in san antonio for the law conference the rest of the week, but thisprocess should not wait for me  .   once corporate comp gives it the ok, weshouldbe ready to finalize it  ."
eip incentive plan,"i spoke with corporate compensation yesterday (kim bolton) about the optionofpaying for stock options/phantom stock with proceeds from the eip incentiveplan  .   she is working on obtaining approval for that provision  .  otherwise, i believe that we are ready to review a final version of theplan  .  , could you please circulate one i'll be in san antonio for the law conference the rest of the week, but thisprocess should not wait for me  .   once corporate comp gives it the ok, weshouldbe ready to finalize it  ."
eip incentive plan,"i spoke with corporate compensation yesterday ( ) about the optionofpaying for stock options/phantom stock with proceeds from the eip incentiveplan  .   she is working on obtaining approval for that provision  .  otherwise, i believe that we are ready to review a final version of theplan  .  , could you please circulate one i'll be in san antonio for the law conference the rest of the week, but thisprocess should not wait for me  .   once corporate comp gives it the ok, weshouldbe ready to finalize it  ."
note from sally,"here is the note that went out  .   i'm giving a speech this morning and will be out all afternoon, but i will try to catch you in between  .   also, i am in tomorrow, but then am out all next week on vacation  .   while i am out, you can work with emma caplan  ."
project triple lutz,"pat,i have reviewed this agreement and provided my comments under a separate email  .   i would appreciate your review of section 4  .  14 in particular, given your familiarity with the compensation plans and benefit plans  .   in terms of timing, your comments probably can go into the next draft, but if you have a chance to look at 4  .  14 today, it would be great  !"
"stuart.zisman@enron.com, jinsung.myung@enron.com","pat,hello  !   i am sending to you a memo from stuart zisman here at enron  .   he has a question that i am forwarding to you, since i don't know the answer  .   would you please give him an answer today, if possible"
"stuart.zisman@enron.com, jinsung.myung@enron.com","pat,hello  !   i am sending to you a memo from   here at enron  .   he has a question that i am forwarding to you, since i don't know the answer  .   would you please give him an answer today, if possible"
employee issue,",louise and robert have brought me into the loop on the employee in london who has had some issues  .   i would appreciate it if you would fax me a copy of his agreement  .   i will be out of the office tomorrow, so, if possible, could you fax it to my house first thing in the morning 713-218-7355 is the fax number  .   if you send it around 5 30 am houston time, then i can have time to review it and incorporate its provisions into the draft correspondence that i will prepare on this topic  .   i am going to be attending a seminar out of the office starting around 8 00 am houston time  .  i will prepare draft correspondence and circulate it to you, robert, and louise for comment and dart-throwing  .   i can be reached via my cell phone during the day at 713-302-5522  ."
employee issue,",louise and  have brought me into the loop on the employee in london who has had some issues  .   i would appreciate it if you would fax me a copy of his agreement  .   i will be out of the office tomorrow, so, if possible, could you fax it to my house first thing in the morning 713-218-7355 is the fax number  .   if you send it around 5 30 am houston time, then i can have time to review it and incorporate its provisions into the draft correspondence that i will prepare on this topic  .   i am going to be attending a seminar out of the office starting around 8 00 am houston time  .  i will prepare draft correspondence and circulate it to you, , and louise for comment and dart-throwing  .   i can be reached via my cell phone during the day at 713-302-5522  ."
project inga,"as you know, we have another power plant project -- if i haven't forwarded information to you yet, i will be doing so in the next day or so  .  the schedule is for preliminary diligence to be completed by 9/8 data room is open 9/6  .   attached to the email i will be sending you is a list of the current information we have here -- lots of documents are here  .   please review the data list and forward to me which ones you want copied, and i will coordinate that process  .  the stock purchase agreement draft will be circulated next week  ."
contract,",based upon my brief review of her comments, many are not acceptable  .   without a convincing explanation, i am not going to delete entire sections of our agreement, particularly when those sections protect enron  .   please get with her (not by copy of this privileged email) and ask for reasons why she wants the changes  ."
opportunities at ena,", as an update, i am meeting with carlos tomorrow  .   he will interview with a number of folks next week, including sheila, barbara, alan, and dan (all of whom expressed an interest in talking with him about working in their groups)  .   assuming all goes well, i'll schedule a meeting with you after that  ."
settlement agreement,"enclosed is another draft of the proposed agreement and release  .   it has incorporated some, but not all, of your changes  .   it is my hope that this draft is the final one if it is not, i believe that it would be most efficient for you to meet with me and david oxley before the end of this week, as i will be out of the office next week  .   please let me or david know if you have any questions or comments  ."
settlement agreement,"enclosed is another draft of the proposed agreement and release  .   it has incorporated some, but not all, of your changes  .   it is my hope that this draft is the final one if it is not, i believe that it would be most efficient for you to meet with me and   before the end of this week, as i will be out of the office next week  .   please let me or  know if you have any questions or comments  ."
purchase & sale agreement,"hello  !  here is the latest draft on garden state/project barbed wire  .   as i mentioned to dee, the agreement is due to be signed on tuesday, 7/11  .  dee/rick, i just learned that there are multi-employer plans for the unionized employees  .   i'll provide details as i learn them  .  i guess you can forward your comments to me, with a copy to stuart zisman  ."
purchase & sale agreement,"hello  !  here is the latest draft on garden state/project barbed wire  .   as i mentioned to dee, the agreement is due to be signed on tuesday, 7/11  .  dee/rick, i just learned that there are multi-employer plans for the unionized employees  .   i'll provide details as i learn them  .  i guess you can forward your comments to me, with a copy to    ."
project e2/endeavor,"dee,i left you a voice mail yesterday, but i wasn't sure if you were in  .  there is a new deal --   .   it is in the preliminary stages, but the deal team (led by don miller) would like to have data regarding the average cost of enron employee benefits, broken down by type of benefit, if possible  .   i assume that you would have that type of data and could forward it to don and me  .  let me know if i should be contacting someone else  ."
project e2/endeavor,"dee,i left you a voice mail yesterday, but i wasn't sure if you were in  .  there is a new deal --   .   it is in the preliminary stages, but the deal team (led by  ) would like to have data regarding the average cost of enron employee benefits, broken down by type of benefit, if possible  .   i assume that you would have that type of data and could forward it to  and me  .  let me know if i should be contacting someone else  ."
draft award agreement,"and ,here is the for the plan  .   let me know if you have comments  .   i will be getting with brian bloom this week with our comments to the plan document  ."
willrich; rifs,", pat mackin requested that i forward this on to you  .   i think he has a good idea here to look at a process for rif selection  .   currently, it is done on an ad-hoc basis, with plans being prepared for each situation  .   pat, do you still have a copy of the one you prepared a while back it would be an excellent start  ."
investigation,"privileged and confidentialin our meeting on friday, we talked about the summary of complaints that you three are going to do  .   if possible, i would like to receive those by tuesday night so that they can be reviewed on wednesday  .   we are meeting with beck/olson on thursday  .  let me know if that is impossible -- i know you all are swamped with zillions of other things  !"
weather candidate,"what about payrolling through an agency so that he is on a contract-to-hire basis that way, we can say that the intent is to hire, but that we are evaluating the situation before making a regular, full-time offer  .   customers understand contract-to-hire concept, so it may not raise lack of commitment jitters  .  what do you think   enron12/05/2000 07 05 pm"
nlrb ruling,"privileged and confidentialthis email contains legal advice and confidentiality should be maintainedthe attached memo describes a recent decision from the national labor relations board regarding an employee's right to be represented by a co-worker or other person during a disciplinary meeting  .   employees in unionized settings always have had this right, but it now has been extended by the nlrb's ruling  .   the ruling was contentious -- there were dissents -- and i expect it to be appealed quickly  .   nonetheless, if an enron employee wants to have someone sit in on a disciplinary meeting, please call me to discuss how to proceed before responding to that request  .   we want to be careful to avoid a finding of an unfair labor practice  ."
personal - dominic carolan,"attached is the resume of dominic carolan, who currently is working at global e&p  .   he is looking to move elsewhere within enron, given that the assets in global e&p are going to be sold  .  i understand that you are looking for a lawyer with oil and gas experience  .   he might be a good candidate  .   i met him today, and he is pleasant and professional  .  if you are interested in interviewing him, let me know, and i will get it scheduled  ."
debra ruby's resume,", this is way late, so sorry  .   i suggest running it by the hr leadership team  .   the email list can be obtained from gerry gibson at corp  .   if there are hr openings, and she would be interested, they would most probably be the best people to assess her skills  ."
opportunities at ena,"here are others who want to interview carlos  .   i tell you what -- before you schedule any of these, let me talk with carlos first to see where his interests lie  .   keep these names, and i'll keep you posted on who to schedule with him  ."
recruiting/contract personnel services agreement,"here are comments from tom moore regarding the proposed services agreement  .   i will circulate the draft ssd this week  .   as always, i welcome additional feedback from the user groups  ."
"rod payne,",", we need to check with kriste sullivan on this  .   i have a vague recollection about a group of employees going to dynegy, and we had to send a demand letter to prohibit the improper use of enron information  .   she was involved, so could you please send her the email you sent to me then, we can discuss a strategy  ."
"rod payne,",", we need to check with   on this  .   i have a vague recollection about a group of employees going to dynegy, and we had to send a demand letter to prohibit the improper use of enron information  .   she was involved, so could you please send her the email you sent to me then, we can discuss a strategy  ."
venezuelan lng project,"dan,i have been working with james mcmillan on the lng project in venezuela  .   i would like to have some additional information about structure, project company, etc  .  , and figured you would know where i could obtain that information  ."
bridgeline,",i met with david baumbaugh today about   .   apparently, we have sent trey logan over there to replace o'neal winfree  .   we thus need to do an assignment letter for logan  .   could you please provide me and twanda with the particulars so that we can paper it up"
bridgeline,",i met with david baumbaugh today about   .   apparently, we have sent trey logan over there to replace o'neal winfree  .   we thus need to do an assignment letter for logan  .   could you please provide me and  with the particulars so that we can paper it up"
book admin for pipe/gas daily option book,"as you might be aware,   (the book admin for the pipe option book) was forced by system problems to stay all night wednesday night and until 200 am friday in order to calc my book  .   while she is scheduled to rotate to the west desk soon, i think we need to discuss putting two persons on my book in order to bring the work load to a sustainable level  .   i'd like to meet at 2 30 pm on monday to discuss this issue  .   please let me know if this time fits in your schedules  ."
"telephone call to steve hellman, oil space","hi  -ken asked me to request that you call the above referenced gentleman  .   he was referred by a friend of ken's  .   he wants to see if his oil on-line business is a fit for us  .   ken said he has no idea whether it will work or not, but please give him a courtesy call  .  steve hellman at 212-628-7191 or cell phone 917-623-9730  ."
persons authorized to approve use of the company planes,"further clarification to the message below, for personal aircraft use, the members of the office of the chairman must approve the requests  .   in addition to ken and jeff, joe sutton will also approve personal requests  .  this is the revised list of persons authorized to approve use of the company plane  .   if there is a duplicate request for a plane, one of the members of the office of the chairman (ken, jeff or joe) will determine priority  .  cliff baxtermark frevertkevin hannonken onjoe hirkostan hortonken layrebecca markmark mettslou paiken rice jeff skillingjoe suttontom white please call if you have any questions  ."
persons authorized to approve use of the company planes,"further clarification to the message below, for personal aircraft use, the members of the office of the chairman must approve the requests  .   in addition to  and ,  sutton will also approve personal requests  .  this is the revised list of persons authorized to approve use of the company plane  .   if there is a duplicate request for a plane, one of the members of the office of the chairman (,  or ) will determine priority  .   baxter frevert hon on hirkostan horton lay  metts pai rice  skilling suttontom white please call if you have any questions  ."
ghana,", i just talked to ken and asked him again  .   he said that there had been a couple of developments while he was in london, so he wanted to wait until he gets back to the office and has a chance to talk to you  .   he will be in the office on thursday  ."
conversation w/president & mrs. bush,hi terry -ken lay said that he would really like an update and more detail about the digital divide and tfa  .   he is attending the fortune battle royal and said this fits right in with the subject  .   he will be leaving for washington tomorrow night  .
ghana,"hi  -in fact, the consul general of , jack webb, has called ken asking him to meet with the ambassador to march 10 or 11 when he will be in houston  .   i had put a message on ken's messages last evening asking if you could handle this if you are available, so hopefully he will say yes - especially after he sees your message  .  rosie  enron development02/29/2000 11 51 am"
university of houston,"dear jason - i'm sure that mr  .   lay would love to do this, but his travel schedule is suc h 20 now that it is very difficult  .   would you be interested in meeting with 20 someone from enron energy services  jason hoelscher j hoelscher hotmail  .  com on 04/03/2001 02 41 59 pm"
new associates,",the two gentlemen that i mentioned on my voice mail are kevin murray and leonidas savas  .   both are from lsu andstart this summer as associates  .   both have expressed their strong desire to have their first rotation in trading and i think they would do a great job for us  .   if you concur, please make a note to place them in trading for their first rotation   .   i have attached both resumes for your reference  ."
angie's resume,",please find attached the resume of angie zeman, who is an analyst working a rotation in east gas logistics  .   she is an outstanding perfromer and is interested in pursuing opportunities in london  .   who is the best person in your organization to communicate her interest and my recommendation"
calls,"i talked with chris holmes last week and got very positive feedback about your interviews  .   i told him about our working together in argentina and your activities down there and gave him an overview of your skill set  .   i have left a message with mike moore but he is out of town and he has not returned my call yet  .   i hope all is well with you  .   i will call or email when i talk with the others  .  sincerely, j  enron03/01/2001 10 50 am"
recruiting,i enjoyed visiting with you as well  .   i was very impressed with the students that i interviewed  .   you guys are certainly doing a great job educating  .   i had the pleasure of visiting with milagros and was very impressed with her and i agree with your comments  .   some of the students were interested in additional reading that i thought might be helpful to them  .   2 books that i think are very good are 1) option volatility and pricing by sheldon natenberg  .   this is textbook type reading that is the best book on options that i know  .   2) reminisences of a stock operator by edwin lefevre  .   this is the best book on trading that i have read (i am actually currently reading it for the fifith of sixth time)  .   it is an easy read and is the real lfe story of a trader in the early 1900's  .   a must read for anyone who has interest in markets and trading  .    edu on 10/19/2000 07 30 58 pm
evaluations,"kathy kelly excellent the performance of the group in the area of operations/logistics is superior  .   kathy is able to manage multiple tasks and is able to get performance form her people  .   even with the dramatic growth of our business, the ops group has been able to manage to sustain a very high level of performance  .   i think kathy could improve in the commercial area (idetifying important data/market info) and thinking of ways to improve our business model though systems, organizational structure, etc  .  ed terry sastifactory/strong similar comments as above in the area of operations/logistics  .   ed's scope is fairly narrow, very centered to operations/logistics  .   i would like ed to improve his ability/wllingness to make decisions  .   very little commercial understanding, although shows interest in learning  ."
no data,known)you need to take that draft to bank by tomorrow  .   mom got a voice mail sayingthat they will need to reissue thedraft if we all have not signed by tomorrow  .  call if you have questions713 853 4723713 365 9035
bank draft,you need to take that draft to bank by tomorrow  .   mom got a voice mail saying that they will need to reissue the draft if we all have not signed by tomorrow  .  call if you have questions713 853 4723713 365 9035
brokerage agreement memo,"pursuant to sara shackleton's request, i am attaching a memo that i prepared in april, 2000 regarding procedures for opening brokerage accounts  .  please do not hesitate to contact either sara at x35620 or me with any questions  .   senior legal specialistenron north america corp  ."
brokerage agreement memo,"pursuant to  's request, i am attaching a memo that i prepared in april, 2000 regarding procedures for opening brokerage accounts  .  please do not hesitate to contact either  at x35620 or me with any questions  .   senior legal specialistenron north america corp  ."
scott healy,"the following is the understanding i have with chris calger regarding scott healy's involvement in east power initiatives since auburndale is effectively dead, scott will no longer be involved on this project  .  scott will support the haywood, georgia, & calvert city development site sales through q1 2001, with east power getting 100% of the p&l value and getting personal performance credit  .   if  elects to continue to use scott's services beyond q1 2001, a value sharing agreement between , calger and myself will have to be agreed upon  .  jeff  will make a decision (after consultation with me) as to scott's continued involvement on the fuel cell tax monetization and dighton restructuring project  .   if jeff makes the decision that scott needs to remain actively involved in order to close the transaction, a value sharing agreement will be made between jeff, calger, and myself  .   the value allocation % will be agreed upon upfront within the next week  .   if a fair value sharing agreement cannot be reached, jeff will transition responsibility to another member of his origination team  .  chris - do you agree with the above description"
scott healy,"the following is the understanding i have with chris  regarding  's involvement in east power initiatives since auburndale is effectively dead,  will no longer be involved on this project  .   will support the haywood, georgia, & calvert city development site sales through q1 2001, with east power getting 100% of the p&l value and getting personal performance credit  .   if  elects to continue to use 's services beyond q1 2001, a value sharing agreement between ,  and myself will have to be agreed upon  .  jeff  will make a decision (after consultation with me) as to 's continued involvement on the fuel cell tax monetization and dighton restructuring project  .   if jeff makes the decision that  needs to remain actively involved in order to close the transaction, a value sharing agreement will be made between jeff, , and myself  .   the value allocation % will be agreed upon upfront within the next week  .   if a fair value sharing agreement cannot be reached, jeff will transition responsibility to another member of his origination team  .  chris - do you agree with the above description"
"ees bid/offer spread, updated 01/17/01",below are the epmi proposed bid/offer spreads for ees  .   these are very aggressive markets given the liquidity issues and regulatory uncertainty that still exist in the eastern interconnect  .   there are no other counterparties in the market that will consistently make the proposed 2-ways  .
pesc confidentiality agreement,", attached are my suggested changes to the above-referenced confidentiality agreement  .   one of the changes was to address the enovate employee issue that we discussed  .   a few of the changes are simply clean-up  .   please let me know if you have any questions  ."
"intercontinentalexchange, llc",", the traders at enovate in the chicago office would like to be able to use the ice system  .   i understand that you are the person who should review these agreements  .   if you are not the right person, please let me know  .   i am sending a second e-mail that goes with this one  .   feel free to call me for any additional information that you might need  ."
nipsco contract,", i have reviewed mary's comments on the   .   she makes some good points and it would be nice for nipsco to make those changes  .   if nipsco will not make the changes, i still think it is acceptable for enovate to sign the agreement  ."
garden state paper,",attached is a draft of the services agreement with   .   please do not forward this to them  .   we need to discuss a couple of things after you have read the agreement  .   i also need to add a little bit more legal boilerplate  .   please call me so that we may discuss  ."
latest version of the master firm purchase/sale agreement,attached is the latest version of the above-referenced document  .   it contains the changes requested by nui  .   i understand from rudwell that he and laura have agreed on the credit numbers and i have incorporated the numbers that they have agreed on  .   please call me at (713) 853-5705 should you have any questions  .
enron ca for nmem - 6/6/01 revision,",attached, please find one redline version and one blackline version of theca for enron to sign  .   please execute the blackline version and have itfaxed to me as soon as possible (fax number is 781-270-0418)  .   once i havereceived your executed version, i will drop the cd in the mail for tomorrowdelivery  ."
ways to contact me next week,", here is how to get a hold of me next week  .  cell phone (713) 269-4114grandparents' phone (870) 247-1352grandparents' address403 white hall avenuepine bluff, ar 71602i do not think that my pager works in arkansas  .   it did not work in san antonio  .   i will find a fax number in arkansas and give it to you  .  do not hestiate to call me  ."
latest version of the transaction agreement,"paul, attached is the which incorporates the changes that were discussed yesterday  .   please review and give me you comments  .   my phone number if (713) 853-5705  ."
constellation master firm agreement,", here is the master as i think it stands  .   there is some language added that rudwell requested  .   i am not clear on whether randy o has seen the credit lanugage  .   let me know what you think and i will send it to randy o  ."
gisb meetings,"jeff,the gisb drafting meetings are going to be at williams' offices in the galleria  .   they will be on the afternoon of monday, may 21st, all day tues may 22 and the morning of wed may 23   .   i will give you more details when i get them  ."
allegheny term sheet and contract comments,", my thoughts on allegheny's changes to the master are similar to mary's  .   i am generally fine with the changes except 1) i would counter with lowering the liquidated damages to 10 cents (ultimately, this is a business decision) and   .   i would tell them that we need arbitration  .   in some respects, it is more likely that disputes would arise under this type of deal so it is even more important to have arbitration  .   please let me know if you want me to talk to anyone at allegheny about their changes  ."
eol gtcs,", here is the sentence that we discussed  .   notwithstanding anything to the contrary in the general terms and conditions, if applicable, this transaction is between counterparty and enron north america corp  .   please call me if you have any questions  .    /enron enronxgate 06/11/2001 09 56 am"
dsl,", i was in the msn pilot  .   as you know msn is no longer providing through northpoint  .   you told me that enron would not subsidize swb service which is what msn suggested i sign up for  .   what did enron decide to do about i could not tell from the clickathome intranet  ."
coral energy resources master agreement,"monique, attached please find a red-lined and a clean version of the master firm purchase/sale agreement which reflect all of the changes that we discussed  .   please review and call me if i have missed anything  .   i will send mike palmer the transaction agreements this afternoon  ."
nui corp ,"to prepare the confirmation for this deal, we need to make a few changes to the standard form   .   incorporate the revolver document articles 3-7 by reference that i forwarded earlier  .   i think this is the easiest way  .   we will need to make the appropriate modifications to change for our transaction type  .   laura falk at the company should be able to provide us with whatever information we need (name of agreement, parties to, etc)  .   she can be reached at 908-719-4242  .   since nui must already comply with all of this for the bank, it should not be too burdensome for them  .   if they push back, i have marked the specific sections that we need to include at a minimum  .   we need to delete the reference to the collateral threshold and requirement to post performance assurance in the master  .   do we need to do anything about the fact that in some cases we have redundant and perhaps conflicting defaults/remedies or can we just state that anything we incorpoarate from the revolver document supercedes the master, if applicable can you think of anything else that i am missing mark, please send me the updated model  .  call me if you have questions  ."
nui corp ,"to prepare the confirmation for this deal, we need to make a few changes to the standard form   .   incorporate the revolver document articles 3-7 by reference that i forwarded earlier  .   i think this is the easiest way  .   we will need to make the appropriate modifications to change for our transaction type  .   laura falk at the company should be able to provide us with whatever information we need (name of agreement, parties to, etc)  .   she can be reached at 908-719-4242  .   since nui must already comply with all of this for the bank, it should not be too burdensome for them  .   if they push back, i have ed the specific sections that we need to include at a minimum  .   we need to delete the reference to the collateral threshold and requirement to post performance assurance in the master  .   do we need to do anything about the fact that in some cases we have redundant and perhaps conflicting defaults/remedies or can we just state that anything we incorpoarate from the revolver document supercedes the master, if applicable can you think of anything else that i am missing , please send me the updated model  .  call me if you have questions  ."
new gtc versions,", per my e-mail, attached please find the new versions of the natural gas spot gtc - on with and one without credit  .   also attached is a new version of the firm gtc without credit  .   there was a typo in the one i sent yesterday  .   the firm gtc with credit that i sent yesterday does not have the typo  ."
